method,duration,bias,error,relArea,cost,tau_p,tau_v
KDE,1,-1513912.978,-0.8043,0.195733777,0.207547426,86164.091,3600
KDE,1,-1429587.103,-0.7595,0.24053385,0.218415737,86164.091,3600
KDE,1,-1507701.474,-0.801,0.198972725,0.419533014,86164.091,3600
KDE,1,-1259053.079,-0.6689,0.33114495,0.435013533,86164.091,3600
KDE,1,-1520877.392,-0.808,0.191995891,0.125939846,86164.091,3600
KDE,1,-1348272.866,-0.7163,0.283688781,0.329767704,86164.091,3600
KDE,1,-1563416.784,-0.8306,0.169350297,0.123519659,86164.091,3600
KDE,1,-1608779.588,-0.8547,0.145346895,0.150050879,86164.091,3600
KDE,1,-1669765.265,-0.8871,0.112939681,0.555849552,86164.091,3600
KDE,1,-1310250.931,-0.6961,0.303919064,0.317172766,86164.091,3600
KDE,1,-1646425.068,-0.8747,0.125263357,0.126416683,86164.091,3600
KDE,1,-1529912.307,-0.8128,0.187244943,0.309037685,86164.091,3600
KDE,1,-1443327.703,-0.7668,0.233190664,0.312935352,86164.091,3600
KDE,1,-1637954.835,-0.8702,0.129805371,0.338344336,86164.091,3600
KDE,1,-1754844.05,-0.9323,0.067695149,0.118774176,86164.091,3600
KDE,1,-1665059.58,-0.8846,0.115391207,0.312224627,86164.091,3600
KDE,1,-1305545.246,-0.6936,0.306407376,0.336488247,86164.091,3600
KDE,1,-1691787.871,-0.8988,0.101171564,0.12673521,86164.091,3600
KDE,1,-1767267.059,-0.9389,0.061069224,0.124943495,86164.091,3600
KDE,1,-1729809.806,-0.919,0.081034891,0.312104702,86164.091,3600
KDE,1,-1474008.769,-0.7831,0.216900399,0.341099501,86164.091,3600
KDE,1,-1530288.762,-0.813,0.18701131,0.119632721,86164.091,3600
KDE,1,-1627414.1,-0.8646,0.135413426,0.307881832,86164.091,3600
KDE,1,-1783454.615,-0.9475,0.052472088,0.332707882,86164.091,3600
KDE,1,-1578663.204,-0.8387,0.161315627,0.334508896,86164.091,3600
KDE,1,-1771219.834,-0.941,0.058988075,0.121339798,86164.091,3600
KDE,1,-1495090.238,-0.7943,0.205650938,0.307338476,86164.091,3600
KDE,1,-1740162.313,-0.9245,0.075538192,0.371570587,86164.091,3600
KDE,1,-1586380.527,-0.8428,0.157182571,0.111317158,86164.091,3600
KDE,1,-1690658.507,-0.8982,0.101771414,0.122809172,86164.091,3600
KDE,1,-1532547.491,-0.8142,0.185843434,0.121160746,86164.091,3600
KDE,1,-1702328.606,-0.9044,0.095602048,0.365517139,86164.091,3600
KDE,1,-1541205.951,-0.8188,0.18117879,0.11981225,86164.091,3600
KDE,1,-1732633.217,-0.9205,0.079549169,0.119591713,86164.091,3600
KDE,1,-1777431.338,-0.9443,0.055719905,0.342972755,86164.091,3600
KDE,1,-1597674.171,-0.8488,0.151246299,0.119470835,86164.091,3600
KDE,1,-1744679.771,-0.9269,0.073082491,0.110571623,86164.091,3600
KDE,1,-1686517.504,-0.896,0.10395802,0.342276573,86164.091,3600
KDE,1,-1323426.849,-0.7031,0.296945104,0.117030859,86164.091,3600
KDE,1,-1517489.299,-0.8062,0.193845553,0.309361219,86164.091,3600
KDE,1,-1586192.3,-0.8427,0.157315252,0.117797136,86164.091,3600
KDE,1,-1533488.628,-0.8147,0.185296284,0.14072752,86164.091,3600
KDE,1,-1776678.429,-0.9439,0.056133379,0.31354785,86164.091,3600
KDE,1,-1783454.615,-0.9475,0.052451992,0.308699608,86164.091,3600
KDE,1,-1421493.325,-0.7552,0.244838977,0.313595533,86164.091,3600
KDE,1,-1520689.165,-0.8079,0.192128157,0.122541904,86164.091,3600
KDE,1,-1730186.261,-0.9192,0.080826226,0.123309135,86164.091,3600
KDE,1,-1313639.025,-0.6979,0.302134328,0.121586323,86164.091,3600
